,algorithm_name,avg_run_time,comparison_operator,n,repetitions,test_fun,timeouts
342,(1+10)-EA,inf,ge,200,10,RoyalRoads(5),10
343,(1+10)-EA,3199.0,gt,200,10,BinVal,0
344,(1+10)-EA,3446.0,ge,200,10,BinVal,0
345,RLS,1248.8,gt,225,10,OneMax,0
346,RLS,1403.8,ge,225,10,OneMax,0
347,RLS,25293.8,gt,225,10,LeadingOnes,0
348,RLS,25933.3,ge,225,10,LeadingOnes,0
349,RLS,28347.25,ge,225,10,RoyalRoads(5),6
350,RLS,1077.4444444444443,gt,225,10,BinVal,1
351,RLS,1163.8,ge,225,10,BinVal,0
352,(1+1)-EA,2688.5,gt,225,10,OneMax,0
353,(1+1)-EA,2578.3,ge,225,10,OneMax,0
354,(1+1)-EA,45154.3,gt,225,10,LeadingOnes,0
355,(1+1)-EA,43654.3,ge,225,10,LeadingOnes,0
356,(1+1)-EA,inf,ge,225,10,RoyalRoads(5),10
357,(1+1)-EA,3002.6,gt,225,10,BinVal,0
358,(1+1)-EA,3013.8,ge,225,10,BinVal,0
359,(1+2)-EA,2597.6,gt,225,10,OneMax,0
360,(1+2)-EA,2958.8,ge,225,10,OneMax,0
361,(1+2)-EA,44673.0,gt,225,10,LeadingOnes,0
362,(1+2)-EA,43318.2,ge,225,10,LeadingOnes,0
363,(1+2)-EA,inf,ge,225,10,RoyalRoads(5),10
364,(1+2)-EA,3051.4,gt,225,10,BinVal,0
365,(1+2)-EA,2850.0,ge,225,10,BinVal,0
366,(1+5)-EA,2633.5,gt,225,10,OneMax,0
367,(1+5)-EA,3042.5,ge,225,10,OneMax,0
368,(1+5)-EA,43197.5,gt,225,10,LeadingOnes,0
369,(1+5)-EA,46449.0,ge,225,10,LeadingOnes,0
370,(1+5)-EA,3396.0,gt,225,10,BinVal,0
371,(1+5)-EA,3762.5,ge,225,10,BinVal,0
372,(1+10)-EA,3231.0,gt,225,10,OneMax,0
373,(1+10)-EA,3468.0,ge,225,10,OneMax,0
374,(1+10)-EA,41968.0,gt,225,10,LeadingOnes,0
375,(1+10)-EA,44064.0,ge,225,10,LeadingOnes,0
376,(1+10)-EA,3568.0,gt,225,10,BinVal,0
377,(1+10)-EA,4002.0,ge,225,10,BinVal,0
378,RLS,1427.1,gt,250,10,OneMax,0
379,RLS,1302.3,ge,250,10,OneMax,0
380,RLS,30440.9,gt,250,10,LeadingOnes,0
381,RLS,31205.0,ge,250,10,LeadingOnes,0
382,RLS,inf,ge,250,10,RoyalRoads(5),10
383,RLS,1363.1,gt,250,10,BinVal,0
384,RLS,1473.5,ge,250,10,BinVal,0
385,(1+1)-EA,2867.3,gt,250,10,OneMax,0
386,(1+1)-EA,3570.8,ge,250,10,OneMax,0
387,(1+1)-EA,52861.6,gt,250,10,LeadingOnes,0
388,(1+1)-EA,55832.1,ge,250,10,LeadingOnes,0
389,(1+1)-EA,3445.4,gt,250,10,BinVal,0
390,(1+1)-EA,3387.3,ge,250,10,BinVal,0
391,(1+2)-EA,3541.0,gt,250,10,OneMax,0
392,(1+2)-EA,2959.6,ge,250,10,OneMax,0
393,(1+2)-EA,56714.0,gt,250,10,LeadingOnes,0
394,(1+2)-EA,54566.4,ge,250,10,LeadingOnes,0
395,(1+2)-EA,3260.8,gt,250,10,BinVal,0
396,(1+2)-EA,3422.2,ge,250,10,BinVal,0
397,(1+5)-EA,3333.0,gt,250,10,OneMax,0
398,(1+5)-EA,3215.5,ge,250,10,OneMax,0
399,(1+5)-EA,52596.42857142857,gt,250,10,LeadingOnes,3
400,(1+5)-EA,54056.5,ge,250,10,LeadingOnes,0
401,(1+5)-EA,3809.5,gt,250,10,BinVal,0
402,(1+5)-EA,3597.0,ge,250,10,BinVal,0
403,(1+10)-EA,3709.0,gt,250,10,OneMax,0
404,(1+10)-EA,4041.0,ge,250,10,OneMax,0
405,(1+10)-EA,53609.0,gt,250,10,LeadingOnes,0
406,(1+10)-EA,56794.0,ge,250,10,LeadingOnes,0
407,(1+10)-EA,4554.0,gt,250,10,BinVal,0
408,(1+10)-EA,4062.0,ge,250,10,BinVal,0
409,RLS,1699.8,gt,275,10,OneMax,0
410,RLS,1615.1,ge,275,10,OneMax,0
411,RLS,38766.2,gt,275,10,LeadingOnes,0
412,RLS,38115.4,ge,275,10,LeadingOnes,0
413,RLS,1383.5,gt,275,10,BinVal,0
414,RLS,1589.6,ge,275,10,BinVal,0
415,(1+1)-EA,3713.9,gt,275,10,OneMax,0
416,(1+1)-EA,3706.9,ge,275,10,OneMax,0
417,(1+1)-EA,65211.2,gt,275,10,LeadingOnes,0
418,(1+1)-EA,61981.9,ge,275,10,LeadingOnes,0
419,(1+1)-EA,3766.6,gt,275,10,BinVal,0
420,(1+1)-EA,4530.0,ge,275,10,BinVal,0
421,(1+2)-EA,3657.6,gt,275,10,OneMax,0
422,(1+2)-EA,3420.2,ge,275,10,OneMax,0
423,(1+2)-EA,69606.8,gt,275,10,LeadingOnes,0
424,(1+2)-EA,65256.2,ge,275,10,LeadingOnes,0
425,(1+2)-EA,4024.8,gt,275,10,BinVal,0
426,(1+2)-EA,3939.6,ge,275,10,BinVal,0
427,(1+5)-EA,3531.5,gt,275,10,OneMax,0
428,(1+5)-EA,3792.5,ge,275,10,OneMax,0
429,(1+5)-EA,63831.0,gt,275,10,LeadingOnes,0
430,(1+5)-EA,64144.0,ge,275,10,LeadingOnes,0
431,(1+5)-EA,4393.0,gt,275,10,BinVal,0
432,(1+5)-EA,4710.5,ge,275,10,BinVal,0
433,(1+10)-EA,4356.0,gt,275,10,OneMax,0
434,(1+10)-EA,3965.0,ge,275,10,OneMax,0
435,(1+10)-EA,65414.0,gt,275,10,LeadingOnes,0
436,(1+10)-EA,65560.0,ge,275,10,LeadingOnes,0
437,(1+10)-EA,4581.0,gt,275,10,BinVal,0
438,(1+10)-EA,5012.0,ge,275,10,BinVal,0
439,RLS,1670.7,gt,300,10,OneMax,0
440,RLS,1751.7,ge,300,10,OneMax,0
441,RLS,43355.9,gt,300,10,LeadingOnes,0
442,RLS,42965.1,ge,300,10,LeadingOnes,0
443,RLS,1594.5,gt,300,10,BinVal,0
444,RLS,1606.3,ge,300,10,BinVal,0
445,(1+1)-EA,3989.2,gt,300,10,OneMax,0
446,(1+1)-EA,3789.9,ge,300,10,OneMax,0
